add device 1: /dev/input/event10
add device 3: /dev/input/event1
[1423674092.369140] /dev/input/event1: EV_ABS       003f                 0000000c            
[1423674092.369154] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000289            
[1423674092.369168] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003c2            
[1423674092.369177] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000006            
[1423674092.369185] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.381104] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674092.381112] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002f6            
[1423674092.381115] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003a3            
[1423674092.381118] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000007            
[1423674092.381121] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.393332] /dev/input/event1: EV_ABS       003f                 0000000a            
[1423674092.393341] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000369            
[1423674092.393344] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000384            
[1423674092.393347] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000006            
[1423674092.393353] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.405924] /dev/input/event1: EV_ABS       003f                 00000014            
[1423674092.405943] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000003eb            
[1423674092.405947] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000367            
[1423674092.405954] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000007            
[1423674092.405965] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.417913] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000481            
[1423674092.417920] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000348            
[1423674092.417924] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.430199] /dev/input/event1: EV_ABS       003f                 0000000f            
