add device 1: /dev/input/event10
add device 2: /dev/input/event0
add device 3: /dev/input/event1
add device 4: /dev/input/event7
add device 5: /dev/input/event9
add device 6: /dev/input/event8
add device 7: /dev/input/event6
add device 8: /dev/input/event5
add device 9: /dev/input/event4
add device 10: /dev/input/event3
add device 11: /dev/input/event2
/dev/input/event3: 0002 0000 fffffff0
/dev/input/event3: 0002 0001 00000034
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000011
/dev/input/event1: 0003 0035 0000090c
/dev/input/event1: 0003 0036 000002b8
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000934
/dev/input/event1: 0003 0036 0000029c
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 ffffffed
/dev/input/event3: 0002 0001 00000033
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 0000094e
/dev/input/event1: 0003 0036 00000284
/dev/input/event1: 0003 0031 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000962
/dev/input/event1: 0003 0036 0000026c
/dev/input/event1: 0003 0031 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff5
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000096d
/dev/input/event1: 0003 0036 0000025b
/dev/input/event1: 0003 0031 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000014
/dev/input/event1: 0003 0035 00000972
/dev/input/event1: 0003 0036 0000024c
/dev/input/event1: 0003 0030 00000006
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff6
/dev/input/event3: 0002 0001 00000038
/dev/input/event3: 0002 0002 0000040a
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 0000096f
/dev/input/event1: 0003 0036 00000240
/dev/input/event1: 0003 0030 00000007
/dev/input/event1: 0003 0031 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff1
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 0000040b
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000964
/dev/input/event1: 0003 0036 00000237
/dev/input/event1: 0003 0030 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000938
/dev/input/event1: 0003 0036 0000022e
/dev/input/event1: 0000 0000 00000000
/dev/input/event6: 0002 0006 000000f8
/dev/input/event6: 0002 0007 00000107
/dev/input/event6: 0002 0008 000000b6
/dev/input/event6: 0002 0009 000000ca
/dev/input/event6: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 000008fa
/dev/input/event1: 0003 0036 00000236
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000008aa
/dev/input/event1: 0003 0036 00000241
/dev/input/event1: 0003 0030 00000007
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
